,painting_id,year,title,width,height,area,blue_area,percentage_blue_area
84,b230,1932,Composition A,550,550,302500,9520.0,3.147107438016529
85,b231,1932,Composition B,500,500,250000,0.0,0.0
86,b232,1932,Composition C,504,502,253008,0.0,0.0
87,b233,1932,Composition D,385,420,161700,1207.0,0.7464440321583179
88,b234,1932,Composition with yellow and blue,553,555,306915,11960.0,3.896844403173517
89,b235,1932,Composition with blue and yellow,454,454,206116,90902.0,44.10235013293485
90,b236,1932,Composition with yellow and blue,330,413,136290,9500.0,6.970430699244258
91,b237,1932,Composition with double line and yellow,452,452,204304,0.0,0.0
92,b238,1933,Composition with double line and yellow and blue,335,410,137350,3135.0,2.282489989078995
93,b239,1933,Composition with red and blue,333,412,137196,4275.0,3.1159800577276306
94,b240,1933,Composition with blue and yellow,330,415,136950,11286.0,8.240963855421688
95,b243,1934,"Composition in black and white, with double lines",603,594,358182,0.0,0.0
96,b244,1934,Composition no. I,590,1213,715670,22600.0,3.157880028504758
97,b245,1934,Composition no. II,565,590,333350,0.0,0.0
98,b252,1935,Composition no. IV blanc-bleu,703,990,695970,26676.0,3.832923832923833
99,b253,1935,Composition A,560,590,330400,0.0,0.0
100,b254,1935,Composition B,632,800,505600,0.0,0.0
101,b255,1935,Composition (no. I) gris-rouge,550,569,312950,0.0,0.0
102,b256,1935,Composition (no. II) bleu-jaune,693,723,501039,5340.0,1.0657852981504434
103,b257,1935,Composition (no. III) blanc-jaune,510,1010,515100,6591.0,1.279557367501456
104,b259,1935,Composition with double line and blue,689,711,489879,32384.0,6.6106120082714295
105,b260,1935,Composition A (no. I),505,1000,505000,3654.0,0.7235643564356435
106,b261,1935,Composition C (no. III),551,562,309662,25917.0,8.369447978763942
107,b262,1936,Composition (A) en rouge et blanc,330,432,142560,0.0,0.0
108,b263,1936,"Composition (B), en bleu, jaune et blanc",335,435,145725,4920.0,3.3762223365928974
109,b264,1936,Composition with yellow,660,740,488400,0.0,0.0
110,b265,1936,"Composition - blanc, rouge et jaune: A",622,800,497600,0.0,0.0
111,b266,1936,Composition - blanc et rouge: B,505,515,260075,0.0,0.0
112,b267,1936,"Composition in White, Blue and Yellow",685,705,482925,5474.0,1.1335093441010509
113,b268,1936,"Composition en blanc, rouge et bleu",803,985,790955,8284.0,1.0473415048896586
114,b269,1936,"Composition en blanc, noir et rouge",1040,1020,1060800,0.0,0.0
115,b271,1937,"Composition en jaune, bleu et blanc: I",552,571,315192,2394.0,0.7595370440874134
116,b272,1937,"Composition en rouge, bleu et blanc: II",605,750,453750,4089.0,0.9011570247933883
117,b273,1937,"No. I: Opposition de lignes, de rouge et jaune",335,435,145725,0.0,0.0
118,b274,1937,No. II: Blanc et rouge,552,603,332856,4318.0,1.2972576729877183
119,b275,1937,No. III: Opposition de lignes de blanc et jaune,550,600,330000,7344.0,2.2254545454545456
